Queue Utilization, Buffer Length, P_Loss, P_Idle, Average Packets in Queue, Arrivals, Departures, Observations, Total Time
5.4, 50, 0.815282, 2.33602e-06, 49.7825, 2703156, 499322, 13710104, 1000.09
5.8, 50, 0.827868, 8.49461e-07, 49.8016, 2899996, 499182, 14765539, 1000.11
6.2, 50, 0.839351, 3.34972e-07, 49.8174, 3108620, 499396, 15832859, 1000.09
6.6, 50, 0.848655, 3.15324e-07, 49.831, 3304394, 500102, 16900303, 1000.08
7, 50, 0.856757, 0, 49.8414, 3501483, 501563, 17972335, 1000.12
7.4, 50, 0.865113, 1.9371e-07, 49.8533, 3705016, 499758, 19057247, 1000.11
7.8, 50, 0.87195, 5.75031e-08, 49.8625, 3905902, 500150, 20167599, 1000.1
8.2, 50, 0.878135, 2.97662e-08, 49.8704, 4103968, 500132, 21261822, 1000.1
8.6, 50, 0.884097, 1.03453e-07, 49.878, 4309947, 499536, 22387993, 1000.11
9, 50, 0.888923, 0, 49.8843, 4505822, 500491, 23519027, 1000.1
9.4, 50, 0.893704, 6.15758e-07, 49.8903, 4708458, 500491, 24670115, 1000.12
9.8, 50, 0.898075, 1.24884e-07, 49.8956, 4910982, 500551, 25811936, 1000.1
